=== Simplified Parameter Blocks ===
adapter.adapter, Params: 1511.9K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.attn2.to_v, Params: 2801.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.ff.net, Params: 11210.5K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.ff.net.proj, Params: 22444.0K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.norm1, Params: 7.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.norm2, Params: 7.7K
audioldm.model.diffusion_model.input_blocks.transformer_blocks.norm3, Params: 7.7K
audioldm.model.diffusion_model.middle_block.emb_layers, Params: 2951.0K
audioldm.model.diffusion_model.middle_block.in_layers, Params: 16594.6K
audioldm.model.diffusion_model.middle_block.norm, Params: 1.9K
audioldm.model.diffusion_model.middle_block.out_layers, Params: 16594.6K
audioldm.model.diffusion_model.middle_block.proj_in, Params: 922.6K
audioldm.model.diffusion_model.middle_block.proj_out, Params: 922.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn1.to_k, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn1.to_out, Params: 922.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn1.to_q, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn1.to_v, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn2.to_k, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn2.to_out, Params: 922.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn2.to_q, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.attn2.to_v, Params: 921.6K
audioldm.model.diffusion_model.middle_block.transformer_blocks.ff.net, Params: 3687.4K
audioldm.model.diffusion_model.middle_block.transformer_blocks.ff.net.proj, Params: 7380.5K
audioldm.model.diffusion_model.middle_block.transformer_blocks.norm1, Params: 1.9K
audioldm.model.diffusion_model.middle_block.transformer_blocks.norm2, Params: 1.9K
audioldm.model.diffusion_model.middle_block.transformer_blocks.norm3, Params: 1.9K
audioldm.model.diffusion_model.out, Params: 14.2K
audioldm.model.diffusion_model.output_blocks.conv, Params: 12609.4K
audioldm.model.diffusion_model.output_blocks.emb_layers, Params: 9738.4K
audioldm.model.diffusion_model.output_blocks.in_layers, Params: 75676.6K
audioldm.model.diffusion_model.output_blocks.norm, Params: 11.5K
audioldm.model.diffusion_model.output_blocks.out_layers, Params: 38836.8K
audioldm.model.diffusion_model.output_blocks.proj_in, Params: 4208.3K
audioldm.model.diffusion_model.output_blocks.proj_out, Params: 4208.3K
audioldm.model.diffusion_model.output_blocks.skip_connection, Params: 8411.3K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn1.to_k, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn1.to_out, Params: 4208.3K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn1.to_q, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn1.to_v, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn2.to_k, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn2.to_out, Params: 4208.3K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn2.to_q, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.attn2.to_v, Params: 4202.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.ff.net, Params: 16815.7K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.ff.net.proj, Params: 33666.0K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.norm1, Params: 11.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.norm2, Params: 11.5K
audioldm.model.diffusion_model.output_blocks.transformer_blocks.norm3, Params: 11.5K
audioldm.model.diffusion_model.time_embed, Params: 738.8K

Total Unique Parameter Blocks: 155
